variable,mean,median,mode,std,cv,q1,q3,iqr,skew,kurtosis,is_categorical_like
X1,0.7642,0.75,0.62,0.1058,0.1384,0.6825,0.83,0.1475,0.4955,-0.7066,False
X2,671.7083,673.75,514.5,88.0861,0.1311,606.375,741.125,134.75,-0.1251,-1.0595,False
X3,318.5,318.5,294.0,43.6265,0.137,294.0,343.0,49.0,0.5334,0.1166,False
X4,176.6042,183.75,220.5,45.166,0.2557,140.875,220.5,79.625,-0.1628,-1.7769,False
X5,5.25,5.25,3.5,1.7511,0.3336,3.5,7.0,3.5,0.0,-2.0052,False
X6,3.5,3.5,2.0,1.1188,0.3196,2.75,4.25,1.5,0.0,-1.361,True
X7,0.2344,0.25,0.1,0.1332,0.5684,0.1,0.4,0.3,-0.0603,-1.3276,False
X8,2.8125,3.0,1.0,1.551,0.5515,1.75,4.0,2.25,-0.0887,-1.1487,True
Y1,22.3072,18.95,15.16,10.0902,0.4523,12.9925,31.6675,18.675,0.3604,-1.2456,False
Y2,24.5878,22.08,14.27,9.5133,0.3869,15.62,33.1325,17.5125,0.396,-1.1472,False
