source,time,temperature,precipitation_probability,name,capital,population,region,status,query,country,city,latitude,longitude,isp
weather,2026-07-15T00:00:00,25.1,100.0,,,,,,,,,,,
weather,2026-07-15T01:00:00,25.1,100.0,,,,,,,,,,,
weather,2026-07-15T02:00:00,25.2,100.0,,,,,,,,,,,
weather,2026-07-15T03:00:00,25.1,100.0,,,,,,,,,,,
weather,2026-07-15T04:00:00,25.0,100.0,,,,,,,,,,,
weather,2026-07-15T05:00:00,25.0,100.0,,,,,,,,,,,
weather,2026-07-15T06:00:00,25.0,98.0,,,,,,,,,,,
weather,2026-07-15T07:00:00,25.0,93.0,,,,,,,,,,,
weather,2026-07-15T08:00:00,25.5,86.0,,,,,,,,,,,
weather,2026-07-15T09:00:00,26.0,82.0,,,,,,,,,,,
weather,2026-07-15T10:00:00,25.0,84.0,,,,,,,,,,,
weather,2026-07-15T11:00:00,24.5,88.0,,,,,,,,,,,
weather,2026-07-15T12:00:00,27.1,86.0,,,,,,,,,,,
weather,2026-07-15T13:00:00,27.3,73.0,,,,,,,,,,,
weather,2026-07-15T14:00:00,27.7,54.0,,,,,,,,,,,
weather,2026-07-15T15:00:00,27.3,37.0,,,,,,,,,,,
weather,2026-07-15T16:00:00,27.4,22.0,,,,,,,,,,,
weather,2026-07-15T17:00:00,27.6,9.0,,,,,,,,,,,
weather,2026-07-15T18:00:00,26.9,0.0,,,,,,,,,,,
weather,2026-07-15T19:00:00,25.9,0.0,,,,,,,,,,,
weather,2026-07-15T20:00:00,24.9,0.0,,,,,,,,,,,
weather,2026-07-15T21:00:00,24.2,0.0,,,,,,,,,,,
weather,2026-07-15T22:00:00,24.0,0.0,,,,,,,,,,,
weather,2026-07-15T23:00:00,23.7,0.0,,,,,,,,,,,
weather,2026-07-16T00:00:00,22.9,0.0,,,,,,,,,,,
weather,2026-07-16T01:00:00,22.4,0.0,,,,,,,,,,,
weather,2026-07-16T02:00:00,22.2,0.0,,,,,,,,,,,
weather,2026-07-16T03:00:00,22.4,0.0,,,,,,,,,,,
weather,2026-07-16T04:00:00,22.4,0.0,,,,,,,,,,,
weather,2026-07-16T05:00:00,22.4,0.0,,,,,,,,,,,
weather,2026-07-16T06:00:00,22.4,0.0,,,,,,,,,,,
weather,2026-07-16T07:00:00,22.5,0.0,,,,,,,,,,,
weather,2026-07-16T08:00:00,22.7,0.0,,,,,,,,,,,
weather,2026-07-16T09:00:00,23.4,0.0,,,,,,,,,,,
weather,2026-07-16T10:00:00,25.1,4.0,,,,,,,,,,,
weather,2026-07-16T11:00:00,27.3,9.0,,,,,,,,,,,
weather,2026-07-16T12:00:00,29.3,12.0,,,,,,,,,,,
weather,2026-07-16T13:00:00,30.8,12.0,,,,,,,,,,,
weather,2026-07-16T14:00:00,30.3,10.0,,,,,,,,,,,
weather,2026-07-16T15:00:00,29.1,8.0,,,,,,,,,,,
weather,2026-07-16T16:00:00,28.0,7.0,,,,,,,,,,,
weather,2026-07-16T17:00:00,26.9,5.0,,,,,,,,,,,
weather,2026-07-16T18:00:00,25.9,4.0,,,,,,,,,,,
weather,2026-07-16T19:00:00,25.2,3.0,,,,,,,,,,,
weather,2026-07-16T20:00:00,24.5,3.0,,,,,,,,,,,
weather,2026-07-16T21:00:00,23.9,4.0,,,,,,,,,,,
weather,2026-07-16T22:00:00,23.4,6.0,,,,,,,,,,,
weather,2026-07-16T23:00:00,23.1,9.0,,,,,,,,,,,
weather,2026-07-17T00:00:00,23.0,12.0,,,,,,,,,,,
weather,2026-07-17T01:00:00,22.5,14.0,,,,,,,,,,,
weather,2026-07-17T02:00:00,22.4,15.0,,,,,,,,,,,
weather,2026-07-17T03:00:00,22.3,16.0,,,,,,,,,,,
weather,2026-07-17T04:00:00,22.0,16.0,,,,,,,,,,,
weather,2026-07-17T05:00:00,21.9,15.0,,,,,,,,,,,
weather,2026-07-17T06:00:00,21.8,14.0,,,,,,,,,,,
weather,2026-07-17T07:00:00,21.9,14.0,,,,,,,,,,,
weather,2026-07-17T08:00:00,22.5,14.0,,,,,,,,,,,
weather,2026-07-17T09:00:00,23.8,14.0,,,,,,,,,,,
weather,2026-07-17T10:00:00,25.4,12.0,,,,,,,,,,,
weather,2026-07-17T11:00:00,26.5,9.0,,,,,,,,,,,
weather,2026-07-17T12:00:00,27.6,8.0,,,,,,,,,,,
weather,2026-07-17T13:00:00,28.8,9.0,,,,,,,,,,,
weather,2026-07-17T14:00:00,29.2,11.0,,,,,,,,,,,
weather,2026-07-17T15:00:00,29.2,14.0,,,,,,,,,,,
weather,2026-07-17T16:00:00,27.9,17.0,,,,,,,,,,,
weather,2026-07-17T17:00:00,26.2,21.0,,,,,,,,,,,
weather,2026-07-17T18:00:00,25.7,24.0,,,,,,,,,,,
weather,2026-07-17T19:00:00,25.3,24.0,,,,,,,,,,,
weather,2026-07-17T20:00:00,24.8,22.0,,,,,,,,,,,
weather,2026-07-17T21:00:00,24.3,22.0,,,,,,,,,,,
weather,2026-07-17T22:00:00,24.1,23.0,,,,,,,,,,,
weather,2026-07-17T23:00:00,24.3,26.0,,,,,,,,,,,
country,,,,Korea (Republic of),Seoul,51780579.0,Asia,,,,,,,
ip,,,,,,,,success,8.8.8.8,United States,Ashburn,39.03,-77.5,Google LLC
